value
22976
251288
239840
87320
38352
312328
99992
3136
337160
53776
252320
986432
1206632
333304
179216
4704
65176
2352
33640
29168
133336
284720
30128
809016
255976
330816
150992
441888
341576
387640
609912
352880
94840
267320
460432
35976
65000
125368
25464
17344
33064
46592
24288
311472
631624
434288
295128
138448
192416
42240
36744
295536
147944
383848
77112
1568
14928
94248
224464
42464
48560
39664
125488
111464
86528
1568
15152
109576
220328
56296
19496
5328
120288
283352
53104
31456
4552
164968
152360
26792
19464
1568
83904
233568
66152
3136
48360
98936
396392
27264
18432
428664
668856
603168
37776
32864
5784
3984
2352
39872
40272
40368
254168
3448
45952
2352
11128
21016
12584
3136
4704
5792
9632
39632
784
1568
216048
297792
533336
46600
54928
31192
54528
13720
3760
848
38568
18824
450752
27160
14704
32696
1880
5088
102688
3136
44520
14400
32424
784
34816
3136
61976
3640
5320
38272
3640
3616
118896
39208
2416
43256
3640
784
2352
35904
142584
12776
784
66864
10416
231848
23888
21984
39736
3640
3136
480
848
42848
79728
22296
11808
241512
124840
3152
114728
239520
746672
15256
18112
31952
3752
12808
12848
16816
52464
17648
32016
21352
45192
68536
11512
407008
35864
33568
11576
32048
22872
41800
495608
2664
12440
11640
35936
4016
1136
1136
1136
1136
34424
15280
12776
54088
21472
173736
36200
1136
53896
1136
19472
32744
24712
14576
1136
206160
1136
1136
32400
1136
16320
4104
24768
1136
2704
29000
1136
12408
12424
1136
48312
1136
19688
1136
52088
34024
34800
1136
1136
42968
17696
1136
32184
22280
2704
12952
32952
1136
31184
1136
16520
16096
7696
13024
32112
1136
1136
32224
1136
1136
18568
73960
4896
1136
1136
62928
1136
1616
1136
1136
17696
43864
1984
1136
1136
26096
1136
1136
1136
1136
1136
1136
45672
109728
1136
14536
1832
1136
1992
44528
17712
1136
3016
122328
20368
20952
46832
1136
1136
18680
117696
25040
48760
219952
1136
2768
1920
1136
1136
32360
1136
1136
1920
1136
1136
1136
37568
1136
1136
5248
28720
1136
1136
53256
1136
13400
1136
24936
1136
11392
52352
1136
1616
13416
1136
61704
1136
1136
1984
1136
1136
1136
86416
25088
1136
1136
37840
1136
61552
1136
1136
3016
3016
47240
1136
18672
1136
1136
1136
1136
70928
1136
1136
1136
1136
32704
12592
1136
1136
1136
1984
1136
33208
13008
9200
1136
1136
1136
1136
46088
1136
1136
1136
18672
1136
1136
23624
1136
1136
1136
34144
1136
1136
25872
1136
1136
1136
1136
25344
1136
1136
1136
1136
1984
1920
40600
1136
1136
1136
1136
1136
1136
1136
13432
41312
1136
1136
1136
1136
1136
34160
1136
1136
1136
1136
1136
1136
1136
1136
1136
1136
1616
1136
1136
1984
1920
1136
1136
1136
19688
1136
1136
1136
1136
1136
57264
1136
1136
1136
1136
33976
1136
1136
13024
1136
37752
144920
1136
1136
1136
1136
22672
1136
147888
18368
225504
1920
1984
61264
1136
1616
151728
1136
71328
250680
32872
1136
58928
1136
5856
34288
1136
31048
92904
1616
13392
1136
1136
1136
36032
1136
1136
19432
14424
1136
19192
27592
1920
1136
1984
2096
1136
44528
1136
1136
1136
1136
1136
1136
44824
136808
2152
1136
1136
1136
1136
40312
1136
1136
1136
1136
1136
71888
64512
1136
14000
1136
1920
1136
57384
1984
1136
1136
15032
56944
2984
1136
1136
1136
1136
58096
15800
1136
1136
25392
6312
1136
28848
1136
1136
56880
1136
1136
1136
1136
1136
55840
1920
1136
1136
1136
21400
26864
1136
13360
1136
1136
1136
22672
33104
2144
1136
13424
31784
1136
1136
1136
1136
47360
7240
1136
1136
1136
1136
1136
30400
24128
1136
1920
23200
55288
1136
1136
1984
1136
36632
1136
1136
1136
33112
2144
1136
28056
1136
12960
1136
18664
1136
1136
72064
2144
1136
13032
1136
1136
1136
1136
1136
1920
36024
27096
196328
1136
1136
1136
1984
1136
1136
1136
252072
3160
1136
1136
1136
19656
24232
1136
1136
1136
1136
10720
7912
1136
1136
12936
1136
1136
1136
1136
1920
1136
1136
14032
1136
1136
1136
1984
1136
1136
33112
2144
1136
18640
1136
47976
1136
1136
1136
1136
158616
169744
74816
1136
1136
1374848
31528
73008
47912
1136
64976
21016
51240
17384
1136
65904
1136
1136
1984
1136
70368
190080
184816
16432
45832
2704
1136
19184
29880
1136
1136
200208
1136
1136
46272
1136
2704
1136
52624
1136
1136
31904
1920
1136
31760
1136
2704
1136
30984
41960
60464
25696
21296
39672
1136
12960
16872
20672
1136
1136
31488
18728
1136
45312
1136
20192
6744
1136
13624
39696
1136
32016
1920
1136
32336
1136
1136
20232
29800
1136
18656
41048
1136
1984
47384
1136
1136
2704
1136
37304
1136
17704
98208
1136
1136
12960
29528
2704
1136
1136
36152
1136
1136
13808
1136
18664
1136
37560
1136
1136
17720
1136
1136
42304
1136
1136
1984
1136
2704
1136
32664
22792
1136
1136
1136
64928
1136
1616
1136
1136
1136
71952
27304
55472
1920
12960
1136
1136
1136
1136
59552
1136
1136
13032
1136
1136
1136
34328
1136
1984
1136
18736
43256
1136
1616
1136
1136
1616
1136
33456
1136
18664
1136
1136
1136
1920
36968
1664
1136
1136
17568
56472
69848
1136
1136
12960
25800
1136
1136
30064
1136
17704
1984
13032
1136
47448
1136
1136
1616
20656
1136
1136
1136
34792
1136
1920
1136
1136
25408
1136
17720
35024
27640
40552
1136
1136
13136
1136
1136
68232
475128
716232
568256
35992
1984
32000
33880
39456
34264
16520
37928
38232
138624
27448
1136
1136
706304
47744
15608
1136
36856
67536
1136
1136
15936
100768
613768
12824
5032
1136
79864
2704
10416
54896
1136
26360
2704
51976
1136
30008
117184
79896
41024
1136
12712
40200
1136
17008
31168
43048
56080
90160
4080
14424
1136
36256
1136
22208
1136
57408
23360
3488
1136
284840
1136
25984
1136
2704
12504
24624
19216
1920
29248
1136
15672
22304
1136
17768
13696
1136
17560
1920
34496
16600
1136
33664
3088
1136
16328
28304
1136
18656
37840
13000
1136
14448
12192
1136
42832
1136
18704
32200
3488
1136
1136
50760
5504
480
848
480
784
848
960
784
848
784
421512
218776
1920
39528
10544
2704
47624
9728
11808
45352
41912
1136
1920
2208
46200
1136
27104
1136
103632
1136
14792
50168
1920
15424
39416
28384
1136
123408
1136
26864
4336
31664
1136
32312
54296
2704
1136
44232
1136
33928
2704
1920
91232
1136
33880
14744
1136
1136
1136
35744
2352
15480
10600
3920
11312
62920
3640
1568
848
47440
4288
1568
16208
34392
4008
1136
3488
31120
1136
3680
6704
1136
1136
91512
15280
1136
11624
2704
15488
1136
66848
1136
1136
1136
1136
11760
67400
134512
1136
150264
1136
6224
1136
1136
39672
1136
18416
80936
187936
61048
24872
1616
1136
1136
16224
38616
88656
1136
34808
4888
1136
46328
52928
24384
11496
18064
41512
7968
104480
2944
10616
74184
27736
30264
14792
784
31064
24640
78632
35728
4008
101632
1136
1984
1136
28512
1136
1664
54712
1136
1136
1136
66224
1136
1136
28768
62240
11608
30160
14432
27312
7432
28080
38048
25160
23176
13928
73472
40960
294880
770416
492312
67256
13656
29384
48728
507264
613480
18056
13552
1136
30504
43704
12144
13696
2144
19040
44208
1920
26224
1136
1136
1136
337616
25072
1136
50016
1568
98144
24736
4760
11920
784
25968
39320
50000
2048
784
18024
9384
18304
279984
784
36544
26760
36952
2096
2664
70016
11728
784
848
1568
58824
784
36280
19304
784
15184
480
32848
23120
20328
784
1568
4792
1136
1136
34960
42192
93880
1136
14904
3552
1136
1920
1136
1136
1136
35624
67296
422544
118776
5480
264864
784
38400
784
17232
203960
205272
32520
27512
784
49944
219712
1568
36080
5088
16208
15112
34544
10984
43064
784
4008
61576
25368
1920
1136
16592
2704
30472
23504
23688
848
784
480
848
784
480
848
